id,title,year,status,imdb_id,tmdb_id,tmdb_media_type,match_confidence,match_method,fields_filled,fields_expanded,conflict_count,review_note_count,source_count,validation_status,validation_messages
1492-conquest-of-paradise-1992,1492: Conquest of Paradise,1992,Enriched,tt0103594,1492,movie,High,Exact title/year confirmed by director,original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
1899-2022,1899,2022,Enriched,tt9319668,90669,tv,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
20-000-leagues-under-the-sea-1916,"20,000 Leagues Under the Sea",1916,Review required,tt0006333,30266,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
20-000-leagues-under-the-sea-1954,"20,000 Leagues Under the Sea",1954,Enriched,tt0046672,173,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
20-000-leagues-under-the-sea-tv-movie-1997,"20,000 Leagues Under the Sea (TV Movie)",1997,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
72-meters-2004,72 Meters,2004,Review required,tt0401089,42952,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
a-high-wind-in-jamaica-1965,A High Wind in Jamaica,1965,Enriched,tt0059269,38340,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; writers,0,0,2,Valid,
a-hijacking-2013,A Hijacking,2013,Review required,tt2216240,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
a-sailor-of-the-king-1953,A Sailor of the King,1953,Unmatched,,,,Unmatched,,,,0,1,0,Valid,
a-twist-of-sand-1968,A Twist of Sand,1968,Enriched,tt0063728,285060,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
above-us-the-waves-1955,Above Us the Waves,1955,Review required,tt0047797,28909,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; genres; languages; studios; writers,1,1,2,Valid,
action-in-the-north-atlantic-1943,Action in the North Atlantic,1943,Enriched,tt0035608,23051,movie,High,Exact title/year confirmed by director,film_type; original_title; runtime_minutes,cast; countries; directors; genres; languages; studios; writers,0,0,2,Valid,
adrift-2018,Adrift,2018,Review required,tt9005626,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
adventure-island-1947,Adventure Island,1947,Review required,tt0039133,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
after-the-storm-2001,After the Storm,2001,Enriched,tt0240325,96279,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
alaska-seas-1954,Alaska Seas,1954,Review required,tt0046692,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
albert-r-n-1953,Albert R.N.,1953,Enriched,tt0045487,150066,movie,High,Exact title/year confirmed by director,film_type; original_title; release_date; runtime_minutes,cast; countries; genres; languages; studios; writers,0,0,2,Valid,
all-hands-on-deck-1961,All Hands on Deck,1961,Review required,tt0054613,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
all-is-lost-2013,All Is Lost,2013,Review required,tt2017038,,,Medium,IMDb candidate requires review,,,0,1,1,Valid,
